CustomerID,Recency,Frequency,Monetary,cluster,Component 1,Component 2,cluster_agg
000nan,1,1373,1716830.53,2,39.80022,112.813774,2
012346,326,1,77183.6,0,-0.9685107,0.4361415,0
012747,2,11,4196.01,0,-0.97724956,-0.10270702,0
012748,1,209,33719.73,1,33.80869,23.632812,1
012749,4,5,4090.88,0,-0.98588115,-0.19682088,0
012820,3,4,942.34,0,-0.9898435,-0.24925746,0
012821,214,1,92.72,0,-1.0208474,-0.42413455,0
012822,71,2,948.88,0,-0.93527114,0.03875223,0
012823,75,5,1759.5,0,-0.99667495,-0.26473275,0
012824,60,1,397.12,0,-1.0015166,-0.33375484,0
012826,3,7,1474.72,0,-0.7515076,2.6599166,0
012827,6,3,430.15,0,-0.99203724,-0.27236992,0
012828,3,6,1018.71,0,-0.8581218,0.57554394,0
012829,337,2,293.0,0,-1.0345238,-0.4757221,0
012830,38,6,6814.64,0,-0.9863697,-0.16805798,0
012831,262,1,215.05,0,-1.0266861,-0.44970334,0
012832,32,2,383.03000000000003,0,-0.99667925,-0.3028657,0
012833,145,1,417.38,0,-1.0120246,-0.38138473,0
012834,283,1,312.38,0,-1.0292029,-0.4603649,0
012836,59,4,2612.86,0,-0.9007388,0.2510978,0
012837,173,1,134.1,0,-1.015735,-0.40054753,0
012838,34,2,683.13,0,-0.9335291,0.13610746,0
012839,3,14,5591.42,0,-0.8284966,0.9258181,0
012840,144,4,2726.77,0,-1.0057707,-0.3072966,0
012841,5,25,4022.35,0,-0.9584183,0.10755609,0
012842,70,2,1118.99,1,31.117657,-2.9536145,1
012843,66,8,1702.26,0,-0.99146295,-0.21448535,0
012844,29,2,325.96000000000004,0,-0.99635684,-0.30185962,0
012845,267,4,354.09000000000003,0,-1.023039,-0.40498987,0
012847,22,1,871.54,0,-0.73714405,1.3190342,0
012849,31,2,1050.89,0,-0.99598193,-0.29430312,0
012851,97,1,135.18,0,-1.0063233,-0.35773087,0
012852,295,1,311.55,0,-1.0306895,-0.46713328,0
012853,135,6,1957.1000000000001,0,-0.9079482,0.23101576,0
012854,79,3,1324.5,0,-1.0003085,-0.30277193,0
012855,373,1,38.1,0,-1.0405828,-0.5143388,0
012856,8,6,2179.93,0,-0.8920307,0.30521205,0
012857,211,2,1106.4,0,-1.018223,-0.3950156,0
012863,52,1,521.2,0,-1.0004195,-0.327763,0
012864,138,1,147.12,0,-1.0113899,-0.38067937,0
012867,26,7,4036.82,0,-0.5104236,4.5797143,0
012868,186,6,1607.0600000000002,0,-1.0091684,-0.31378654,0
012871,84,2,380.64,0,-1.0031205,-0.33218107,0
012872,327,2,599.97,0,-1.0330219,-0.4664134,0
012873,282,1,374.0,0,-1.0290262,-0.45906362,0
012875,143,2,343.2300000000001,0,-1.0104582,-0.3658584,0
012877,4,12,1535.77,0,-0.7191397,1.5052965,0
012878,236,2,854.99,0,-1.0215346,-0.41210702,0
012879,45,3,573.22,0,-0.99674356,-0.29262128,0
012881,276,1,298.0,0,-1.0283484,-0.45659477,0
012882,9,2,1463.04,0,-0.99290377,-0.2769761,0
012883,25,4,703.47,0,-0.9927728,-0.26450908,0
012884,88,1,309.05,0,-1.0050596,-0.35057938,0
012885,63,3,1175.22,0,-0.99845546,-0.2955486,0
012886,68,2,1378.4,0,-1.0002823,-0.31121907,0
012888,214,2,354.12,0,-1.0192406,-0.40571558,0
012890,24,1,380.46999999999997,0,-0.9970732,-0.31367874,0
012891,186,3,331.0,0,-1.0144111,-0.3749347,0
012893,31,1,188.14,0,-0.99810517,-0.3199248,0
012895,42,2,372.8,0,-0.9979264,-0.30862033,0
012897,205,2,216.5,0,-1.0182444,-0.40229508,0
012901,9,28,17654.54,0,-0.94305956,0.31444734,0
012902,265,1,138.68,0,-1.027123,-0.45230764,0
012904,18,2,509.58,0,-0.7355773,1.33224,0
012906,12,5,2919.81,0,-0.9878775,-0.21535307,0
012908,176,2,750.0,0,-1.0141952,-0.37957212,0
012909,40,5,2178.67,0,-0.84844965,0.72651076,0
012910,23,8,3075.04,0,-0.9849594,-0.1738249,0
012912,3,5,1662.3,0,-0.98784286,-0.22534606,0
012913,5,5,2483.63,0,-0.9873852,-0.21663497,0
012915,149,2,363.65,0,-1.0111837,-0.36899304,0
012916,139,4,3006.15,0,-1.0049114,-0.30113426,0
012917,128,1,594.0,0,-1.0097679,-0.36969477,0
012919,8,6,1335.19,0,-0.9873607,-0.21679202,0
012920,17,1,164.23,0,-0.9963922,-0.3123263,0
012921,9,37,16587.09,0,-0.13951382,8.074798,0
012922,161,1,405.38,0,-1.0140162,-0.3905397,0
012923,64,1,176.97,0,-1.002201,-0.33864442,0
012924,88,4,933.7,0,-1.0003763,-0.29723355,0
012925,5,2,694.05,0,-0.8458407,1.1857666,0
012928,35,5,2062.7,0,-0.67696106,4.125347,0
012929,312,1,117.85,0,-1.0329609,-0.47902793,0
012930,78,2,415.8,0,-1.0023472,-0.32838073,0
012931,22,15,42055.96,0,-0.94168293,0.40065005,0
012933,24,3,607.53,0,-0.99411374,-0.28038308,0
012935,2,7,2160.7,0,-0.9845265,-0.18823713,0
012936,17,4,1063.9,0,-0.9914726,-0.25568637,0
012937,15,4,1504.27,0,-0.92509544,0.10752011,0
012938,26,1,114.14,0,-0.9152089,0.2554272,0
012939,64,8,11581.8,0,-0.9827307,-0.095026374,0
012940,55,2,913.54,0,-0.9990717,-0.30946526,0
012942,131,3,683.9,0,-1.0072975,-0.33973154,0
012944,36,2,604.51,0,-0.9969844,-0.30246574,0
012945,288,1,462.95,0,-1.0296926,-0.46137756,0
012947,144,6,1603.99,0,-1.0039704,-0.29016867,0
012948,16,7,2064.95,0,-0.9863424,-0.19726893,0
012949,31,8,4167.22,0,-0.9850121,-0.16524895,0
012950,2,3,1843.0,0,-0.9903284,-0.25319463,0
012951,9,6,1064.07,0,-0.9877173,-0.22060256,0
012952,6,4,1387.79,0,-0.92669225,0.19089341,0
012953,10,1,329.85,0,-0.99538314,-0.30640024,0
012955,1,11,4757.16,0,-0.9766438,-0.0954226,0
012956,306,1,108.07,0,-1.0322263,-0.47576573,0
012957,10,8,4017.54,0,-0.9194,0.2812907,0
012962,7,2,266.39,0,-0.9936838,-0.29018265,0
012963,8,8,1856.63,0,-0.9841484,-0.17997035,0
012965,89,1,771.91,1,18.290697,-1.7947047,1
012966,10,1,160.18,0,-0.9955288,-0.30843246,0
012967,358,2,1660.9,0,-1.0359493,-0.47116542,0
012968,112,1,135.95,0,-1.00818,-0.36616972,0
012970,7,4,452.24,0,-0.99075973,-0.25738052,0
012971,4,86,11189.91,0,-0.6085602,2.752245,0
012974,198,1,144.8,0,-1.0188215,-0.4144995,0
012976,212,1,738.6,0,-1.0200452,-0.4152721,0
012977,156,1,39.239999999999995,0,-1.0137115,-0.3921092,0
012980,158,9,7374.900000000001,0,-0.9966011,-0.18306808,0
012981,30,2,372.21999999999997,0,-0.99644095,-0.3018687,0
012982,243,1,390.54,0,-1.0241826,-0.4369005,0
012984,19,1,97.5,0,-0.99669707,-0.314252,0
012985,1,2,1239.38,0,-0.9921051,-0.27514935,0
012987,74,2,558.7,0,-1.0017292,-0.32441622,0
012988,292,1,535.32,0,-1.0301259,-0.4627635,0
012989,3,15,6924.11,0,-0.9695015,-0.009442084,0
012990,31,3,409.5,0,-0.9951505,-0.28669745,0
012991,23,2,503.76,0,-0.99546117,-0.2963509,0
012993,23,4,414.76,0,-0.9927731,-0.26684073,0
012994,4,3,974.42,0,-0.9913221,-0.2647245,0
012995,85,1,211.32,0,-1.0047718,-0.35006034,0
012997,22,4,1226.89,0,-0.9919518,-0.2565502,0
012999,196,3,455.88,0,-1.0155421,-0.37907103,0
